day,P3,P4,P5,P6,half
141,14736.16827137947,11562.872765522003,10761.464967670441,7228.564503993034,a_select
142,8746.382931537628,9595.822548389435,8957.83294878006,5519.996871247291,a_select
143,6740.628680419922,5235.031540794373,4606.19214138031,3104.1347817516325,a_select
144,9340.128157615662,7979.221118812561,7362.1097174453735,4121.3522345924375,a_select
145,7440.165241889954,7918.328579998017,7183.456179485321,4134.767151927947,a_select
146,9350.561534538268,9724.329491958619,8623.699892349243,4686.730506320953,a_select
147,9256.240174999237,10332.188832473756,9475.769832229615,7020.357635477066,a_select
148,9664.15323264599,10090.408853092194,9148.98285577774,4990.707956959247,a_select
149,6830.313831291199,7336.793173027038,6481.193173027039,3973.603793746948,a_select
150,5688.610636520386,6871.097256851196,5936.417256851197,3606.006201955795,a_select
151,5972.4053003120425,6961.310200080871,6133.051201057434,3704.7493150367736,a_select
152,14958.230741176605,15582.735479660034,12755.313882980347,5935.127076406478,a_select
153,13417.723325634002,10458.839164428711,9664.661166381837,4827.552524766922,a_select
154,10289.918666915893,11154.710160942077,10161.470965385437,5161.343855115891,a_select
155,11955.975632181167,13007.120949764252,11234.19714849472,7670.491083306312,a_select
156,8130.586294975281,8936.147193374634,7023.779395523072,4156.731487384796,a_select
157,6694.525309219361,7203.218091583252,6363.539690704346,3975.4910216865537,a_select
158,10534.516889419556,8347.396155433655,7852.430757484436,5267.9863010082245,a_select
159,7632.070595092773,7133.344075603485,6634.97867521286,4083.412490582466,a_select
160,7755.000155553817,8548.02565776825,7711.211258354187,5073.894688639641,a_select
161,6147.937545838356,7065.500124511719,6382.607926025391,3997.975831759453,a_select
161,561.8185600280761,534.3015200042724,436.3533200836182,420.1277041168213,b_confirm
162,8987.644213843345,8186.171132106781,7393.833334255219,5044.835304078579,b_confirm
163,12343.565915696621,11450.879637291431,9937.679637291432,5688.751192418814,b_confirm
164,6964.548313302994,8139.569213905334,6543.554813270569,4604.3713910703655,b_confirm
165,9685.528979929686,10419.883967046737,9683.715168218612,5674.893437328816,b_confirm
166,7612.9131525230405,7979.573488636017,7370.584089221954,4429.566439277649,b_confirm
167,12088.709685702324,10134.836458816528,8101.725059890748,5846.40758091116,b_confirm
168,9167.827403440475,8659.303025183677,7833.309425330162,5256.176297002792,b_confirm
169,10670.739010457992,9783.025290584565,9371.176091365815,5861.02391533041,b_confirm
170,8947.667368450166,8956.758461513518,8229.589462490081,5904.504955202103,b_confirm
171,5108.110521945953,4772.267283668518,3891.0404831314086,2637.5929008808134,b_confirm
172,10766.603771648406,8468.183333053588,8104.786536178589,5267.624074800491,b_confirm
173,15096.35747013092,13256.8346310997,10555.14217748642,6670.722937391281,b_confirm
174,7680.427673797607,7624.54327507019,6817.347073898315,4292.516878417969,b_confirm
175,10020.69286547184,9522.819029083252,7836.789428253174,5973.719070374012,b_confirm
176,7514.266886081696,8783.67734834671,7786.711347370147,6083.526132622719,b_confirm
177,8831.545728387833,7494.456430892944,6890.0370314788815,4960.6601460123065,b_confirm
178,9195.139317073823,5943.135555076599,5814.781556053162,3135.113842809677,b_confirm
179,13191.343875923158,7106.531054382324,5395.801054382325,4249.34235408783,b_confirm
180,9320.349359064103,9767.82301525116,6633.9817628097535,5286.165616701126,b_confirm
181,10415.686342680454,9130.426007041931,8110.259008750915,5937.7868067483905,b_confirm
182,14536.899056808948,14060.943196640015,13197.786795272827,6899.331543771982,b_confirm
