half,comparison,block_days,n_days,saving,ci_low,ci_high,positive_share,n_resamples,seed
a_select,P3-P4,1,21,237.80173508643657,-10887.573578969485,13251.354332430592,0.4836,10000,42
a_select,P4-P5,1,21,20590.08038146973,16372.114919021607,26130.754361724856,1.0,10000,42
a_select,P5-P6,1,21,68213.38371893454,58211.484906262514,79846.96295189286,1.0,10000,42
a_select,P3-P4,3,21,237.80173508643657,-10308.375714397082,10848.88573047136,0.5183,10000,42
a_select,P4-P5,3,21,20590.08038146973,15707.226970047,26151.981269500724,1.0,10000,42
a_select,P5-P6,3,21,68213.38371893454,57678.46243626485,82462.49043881187,1.0,10000,42
a_select,P3-P4,7,21,237.80173508643657,-9550.862936730384,9945.82642209529,0.5107,10000,42
a_select,P4-P5,7,21,20590.08038146973,15249.327789306642,26818.196575530972,1.0,10000,42
a_select,P5-P6,7,21,68213.38371893454,58691.3570449009,80330.9245537715,1.0,10000,42
b_confirm,P3-P4,1,22,18532.44311769367,5294.353117096371,34075.31273985136,0.9993,10000,42
b_confirm,P4-P5,1,22,24239.957698211663,17545.549490070345,31556.077596088406,1.0,10000,42
b_confirm,P5-P6,1,22,55811.224135128024,44670.33403168051,68140.93345302879,1.0,10000,42
b_confirm,P3-P4,3,22,18532.44311769367,4680.684058004978,36170.66860717648,0.9965,10000,42
b_confirm,P4-P5,3,22,24239.957698211663,18227.715229347228,30790.125960655216,1.0,10000,42
b_confirm,P5-P6,3,22,55811.224135128024,47377.983989368935,64088.28737275103,1.0,10000,42
b_confirm,P3-P4,7,22,18532.44311769367,5245.419139039486,32352.32322973303,0.9998,10000,42
b_confirm,P4-P5,7,22,24239.957698211663,20687.966866504667,27882.1803527832,1.0,10000,42
b_confirm,P5-P6,7,22,55811.224135128024,47336.87699368939,63877.847068400275,1.0,10000,42
